iter	MultiClass
0	2.92093735
1	2.784577681
2	2.605771594
3	2.523828074
4	2.427259968
5	2.34086856
6	2.293717008
7	2.222456847
8	2.136584098
9	2.093807297
10	2.035151889
11	1.99825345
12	1.959046354
13	1.931055516
14	1.89240322
15	1.843031408
16	1.817347753
17	1.77484726
18	1.755602747
19	1.724696706
20	1.699681099
21	1.68212788
22	1.665235845
23	1.625413524
24	1.607759145
25	1.570150542
26	1.549700738
27	1.527769822
28	1.486947641
29	1.474685757
30	1.461045218
31	1.434401373
32	1.420802457
33	1.403766037
34	1.378321871
35	1.363982496
36	1.351122119
37	1.337432136
38	1.324207863
39	1.314376244
40	1.300825018
41	1.284088465
42	1.272108106
43	1.267427137
44	1.260613423
45	1.241724293
46	1.236962068
47	1.231378591
48	1.221859652
49	1.216580476
50	1.20055043
51	1.188905393
52	1.177827626
53	1.156630853
54	1.149384533
55	1.138416176
56	1.13425405
57	1.102817617
58	1.09453223
59	1.088539305
60	1.063887168
61	1.059041885
62	1.054543556
63	1.036519113
64	1.008110903
65	1.000196607
66	0.9956112375
67	0.9849857173
68	0.9800221425
69	0.9749815469
70	0.9573248192
71	0.9526838124
72	0.9324919095
73	0.9296403751
74	0.9271297753
75	0.9242672057
76	0.919886305
77	0.915773488
78	0.9042556875
79	0.8981917156
80	0.8907359765
81	0.8856949812
82	0.8670565254
83	0.8610464593
84	0.8453327225
85	0.8402508925
86	0.814600047
87	0.8096096325
88	0.8021188802
89	0.7912522407
90	0.783692111
91	0.7802015189
92	0.7626004855
93	0.7484875699
94	0.7455463562
95	0.7293247567
96	0.7263500454
97	0.7231399566
98	0.7151662773
99	0.7043214566
100	0.7015696735
101	0.6891013022
102	0.6868207885
103	0.6780246805
104	0.674869011
105	0.6719759732
106	0.6697399905
107	0.6665170711
108	0.6636898963
109	0.6577579264
110	0.6524376812
111	0.6462641525
112	0.6446996034
113	0.6425282807
114	0.6396673218
115	0.6345597976
116	0.6310372467
117	0.6222658792
118	0.6094024732
119	0.5952556969
120	0.5858227609
121	0.5831380702
122	0.5810051648
123	0.5785663064
124	0.5759566196
125	0.5739839762
126	0.5718881769
127	0.5702814596
128	0.5630000537
129	0.5602946575
130	0.5549790305
131	0.5533198712
132	0.5512051975
133	0.5497210982
134	0.5478110908
135	0.5454722783
136	0.5440415129
137	0.5425915524
138	0.5407617186
139	0.5392281777
140	0.537886536
141	0.5362103255
142	0.5330764097
143	0.5312748095
144	0.5294637646
145	0.5229367118
146	0.5211656081
147	0.5195660557
148	0.5177046224
149	0.5161781258
150	0.5145358389
151	0.504694838
152	0.5027481149
153	0.5010480275
154	0.4992976545
155	0.4974711388
156	0.4950432126
157	0.4932029994
158	0.4912164236
159	0.4895453295
160	0.4872494108
161	0.4854157926
162	0.4817049946
163	0.4799331445
164	0.4784327967
165	0.4767273984
166	0.4743591345
167	0.4726144111
168	0.4711870873
169	0.4696191939
170	0.4648691257
171	0.4629438121
172	0.4613170191
173	0.4600189552
174	0.4523309889
175	0.451041154
176	0.4473061002
177	0.4461865374
178	0.4446226863
179	0.4430895552
180	0.4405999353
181	0.4381797022
182	0.4351926663
183	0.4337008662
184	0.4324095728
185	0.4253208235
186	0.4243526877
187	0.4229904094
188	0.4216215987
189	0.4203068279
190	0.4190138898
191	0.4176397966
192	0.4165457294
193	0.4110333513
194	0.4096851053
195	0.4084387252
196	0.4071039926
197	0.4054283816
198	0.4042259422
199	0.4026258403
200	0.4015726932
201	0.4003187747
202	0.3992308235
203	0.3982536652
204	0.396884478
205	0.3954136055
206	0.3942181351
207	0.3925364003
208	0.3910277742
209	0.389661966
210	0.3884676265
211	0.3872016365
212	0.3859386164
213	0.3818484984
214	0.3808607605
215	0.3798574003
216	0.3787580267
217	0.3778526424
218	0.3764609485
219	0.3755239995
220	0.3742120125
221	0.3714399053
222	0.3705492776
223	0.369422227
224	0.3682247782
225	0.3662281289
226	0.3650169495
227	0.3639016901
228	0.3621642143
229	0.3612795881
230	0.3602082175
231	0.3591355072
232	0.3582749012
233	0.3570843369
234	0.3547996432
235	0.353684789
236	0.3520722243
237	0.351041942
238	0.347157265
239	0.3461484654
240	0.3448927933
241	0.3438930554
242	0.338371457
243	0.3373487667
244	0.3363389482
245	0.3354269592
246	0.3342254207
247	0.3333660535
248	0.3322451913
