iter	Passed	Remaining
0	522	260622
1	1120	279118
2	1718	284636
3	2302	285525
4	2866	283764
5	3489	287274
6	4261	300164
7	4936	303574
8	5555	303090
9	6199	303798
10	6790	301882
11	7358	299235
12	7949	297784
13	8542	296554
14	9155	296012
15	9682	292885
16	10283	292183
17	10914	292256
18	11543	292228
19	12231	293566
20	12846	293020
21	13488	293066
22	14079	291986
23	14789	293329
24	15333	291338
25	15875	289422
26	16537	289709
27	17164	289339
28	17814	289332
29	18485	289609
30	19120	289270
31	19703	288161
32	20350	287996
33	21007	287930
34	21641	287528
35	22252	286803
36	22927	286905
37	23597	286894
38	24295	287182
39	24947	286893
40	25619	286815
41	26270	286473
42	26825	285102
43	27397	283933
44	28069	283816
45	28667	282936
46	29236	281786
47	29773	280369
48	30395	279759
49	30754	276789
50	31507	277393
51	32118	276714
52	32732	276068
53	33288	274940
54	33908	274352
55	34603	274358
56	35302	274369
57	36079	274948
58	37001	276567
59	37766	276950
60	38517	277196
61	39143	276527
62	39844	276379
63	40441	275510
64	41076	274897
65	41729	274400
66	42421	274158
67	43088	273736
68	43715	273062
69	44212	271593
70	44876	271156
71	45472	270310
72	45984	268976
73	46561	268044
74	47125	267047
75	47785	266594
76	48430	266051
77	49054	265395
78	49774	265251
79	50342	264298
80	51014	263892
81	51572	262892
82	52195	262234
83	52805	261512
84	53451	260969
85	54070	260294
86	54708	259709
87	55353	259156
88	55982	258526
89	56586	257783
90	57199	257085
91	57859	256592
92	58484	255946
93	59108	255296
94	59793	254907
95	60507	254633
96	61191	254229
97	61839	253667
98	62441	252918
99	63071	252286
100	63645	251432
101	64220	250584
102	64758	249603
103	65358	248864
104	65937	248050
105	66550	247367
106	67178	246737
107	67782	246024
108	68411	245403
109	69067	244877
110	69653	244100
111	70306	243561
112	70841	242616
113	71477	242021
114	72110	241414
115	72740	240797
116	73301	239952
117	74035	239673
118	74793	239464
119	75480	239020
120	76156	238540
121	76800	237956
122	77411	237270
123	77998	236510
124	78663	235991
125	79357	235553
126	80042	235085
127	80681	234481
128	81344	233944
129	81975	233315
130	82618	232718
131	83311	232262
132	84105	232081
133	84670	231263
134	85264	230530
135	85845	229762
136	86383	228884
137	86899	227954
138	87439	227091
139	88061	226444
140	88702	225845
141	89387	225356
142	89998	224680
143	90590	223959
144	91147	223153
145	91639	222194
146	92162	221314
147	92845	220822
148	93577	220440
149	94162	219711
